hand,groupId,groupName,reason,win,lose,mistake,summary,special
AA,premium_pocket,プレミアムポケット,プリフロップ最強。利益の中心だが勝率100%ではない。,相手の強いトップペアや下のポケットから大きく取る。,セット・ツーペア・強ドロー完成。,AAなら絶対勝つと思い込むこと。,最強だからこそ冷静に最大バリューを狙おう。,True
AKs,ak,AK,トップペア最強キッカーを作りやすく、3bet/4betにも耐えやすい。,A/Kヒットで強いトップペアを作る。,ノーヒット、セット、ツーペア。,ノーヒットで諦めすぎる、またはAヒットを過信しすぎること。,完成前はA高。ヒット時は強いがボードを見る。,False
AQs,aq,AQ,強いトップペアを作りやすいが、AKには支配されやすい。,A/Qヒットで弱いトップペアに勝つ。,AK、セット、強い2ペア。,Aが当たっただけでAKを忘れること。,かなり強いが最強ではない。,False
AJs,aj_at,AJ-AT,トップペアを作りやすく、ポジションが良いほど扱いやすい。,弱いAやJ/Tヒットからバリューを取る。,AQ+やAJ+にキッカー負け。,キッカー問題を軽視すること。,キッカー問題を学ぶ代表。,False
ATs,aj_at,AJ-AT,トップペアを作りやすく、ポジションが良いほど扱いやすい。,弱いAやJ/Tヒットからバリューを取る。,AQ+やAJ+にキッカー負け。,キッカー問題を軽視すること。,キッカー問題を学ぶ代表。,False
A9s,middle_suited_ace,A6s-A9s,ナッツフラッシュを作れるスーテッドA。スポット依存が大きい。,フラッシュ、Aヒット、時々キッカー勝ち。,強いAにキッカー負け。,Aヒットを過信すること。,スーテッドの価値は高いが、Aヒット時は慎重に。,False
A8s,middle_suited_ace,A6s-A9s,ナッツフラッシュを作れるスーテッドA。スポット依存が大きい。,フラッシュ、Aヒット、時々キッカー勝ち。,強いAにキッカー負け。,Aヒットを過信すること。,スーテッドの価値は高いが、Aヒット時は慎重に。,False
A7s,middle_suited_ace,A6s-A9s,ナッツフラッシュを作れるスーテッドA。スポット依存が大きい。,フラッシュ、Aヒット、時々キッカー勝ち。,強いAにキッカー負け。,Aヒットを過信すること。,スーテッドの価値は高いが、Aヒット時は慎重に。,False
A6s,middle_suited_ace,A6s-A9s,ナッツフラッシュを作れるスーテッドA。スポット依存が大きい。,フラッシュ、Aヒット、時々キッカー勝ち。,強いAにキッカー負け。,Aヒットを過信すること。,スーテッドの価値は高いが、Aヒット時は慎重に。,False
A5s,wheel_suited_ace,A2s-A5s,Aブロッカー、ナッツフラッシュ、ホイールストレートがある。,フラッシュ、A2345ストレート、ブラフ。,弱いAヒットでキッカー負け。,Aが当たっただけで強いと思うこと。,トップペア目的ではなく、勝ち筋の多さが価値。,True
A4s,wheel_suited_ace,A2s-A5s,Aブロッカー、ナッツフラッシュ、ホイールストレートの可能性がある。,フラッシュ、A2345ストレート、ブラフ。,Aヒット時にキッカー負けしやすい。,Aが当たっただけで大きなポットを作ること。,トップペア目的ではなく勝ち筋の多さが価値。,False
A3s,wheel_suited_ace,A2s-A5s,Aブロッカー、ナッツフラッシュ、ホイールストレートの可能性がある。,フラッシュ、A2345ストレート、ブラフ。,Aヒット時にキッカー負けしやすい。,Aが当たっただけで大きなポットを作ること。,トップペア目的ではなく勝ち筋の多さが価値。,False
A2s,wheel_suited_ace,A2s-A5s,Aブロッカー、ナッツフラッシュ、ホイールストレートの可能性がある。,フラッシュ、A2345ストレート、ブラフ。,Aヒット時にキッカー負けしやすい。,Aが当たっただけで大きなポットを作ること。,トップペア目的ではなく勝ち筋の多さが価値。,False
AKo,ak,AK,トップペア最強キッカーを作りやすく、3bet/4betにも耐えやすい。,A/Kヒットで強いトップペアを作る。,ノーヒット、セット、ツーペア。,ノーヒットで諦めすぎる、またはAヒットを過信しすぎること。,完成前はA高。ヒット時は強いがボードを見る。,False
KK,premium_pocket,プレミアムポケット,プリフロップから非常に高い勝率を持つ利益の中心。,相手のトップペアや下のポケットから大きく取る。,セット、ツーペア、強ドロー完成。,絶対に勝つと思い込み、危険なボードでも降りられないこと。,強いからこそ、冷静に最大バリューを狙う。,False
KQs,kq,KQ,高いカード強度とトップペア性能がある。,K/Qヒットで弱いトップペアに勝つ。,AK、AQ、セットに支配される。,OOPで大きなポットを作りすぎること。,強いが支配される相手もいる。,False
KJs,kj_kt,KJ-KT,トップペアを作れるが、強キッカーに負けるリスクもある。,KヒットやJ/Tヒットで勝つ。,AK/KQ/KJなど上位キッカー。,Kヒットを強すぎる手として扱うこと。,キッカー負けを常に意識。,False
KTs,kj_kt,KJ-KT,トップペアを作れるが、強キッカーに負けるリスクもある。,KヒットやJ/Tヒットで勝つ。,AK/KQ/KJなど上位キッカー。,Kヒットを強すぎる手として扱うこと。,キッカー負けを常に意識。,False
K9s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K8s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K7s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K6s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K5s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K4s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K3s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
K2s,weak_suited_king,弱スーテッドK,フラッシュ性能はあるが、Kヒット時のキッカー問題が大きい。,フラッシュ、時々Kヒット。,KヒットでKQ/AKに支配される。,Kが当たっただけで強いと思うこと。,フラッシュ狙いの価値はあるがトップペア過信は禁物。,False
AQo,aq,AQ,強いトップペアを作りやすいが、AKには支配されやすい。,A/Qヒットで弱いトップペアに勝つ。,AK、セット、強い2ペア。,Aが当たっただけでAKを忘れること。,かなり強いが最強ではない。,False
KQo,kq,KQ,トップペア性能は高いが、AK/AQに支配されやすい。,K/Qヒットで弱いトップペアから取る。,強いA/K/Qにキッカー負け。,OOPで大きなポットを作りすぎること。,よく見る強そうなハンドほど負け方を意識。,True
QQ,premium_pocket,プレミアムポケット,プリフロップから非常に高い勝率を持つ利益の中心。,相手のトップペアや下のポケットから大きく取る。,セット、ツーペア、強ドロー完成。,絶対に勝つと思い込み、危険なボードでも降りられないこと。,強いからこそ、冷静に最大バリューを狙う。,False
QJs,qj_qt,QJ-QT,高カードと連結性があり、ストレートも作りやすい。,トップペア、ストレート、強ドロー。,AQ/KQ/QJなどに支配される。,トップペアだけで粘りすぎること。,ヒットだけでなくドロー性能も評価。,False
QTs,qj_qt,QJ-QT,高カードと連結性があり、ストレートも作りやすい。,トップペア、ストレート、強ドロー。,AQ/KQ/QJなどに支配される。,トップペアだけで粘りすぎること。,ヒットだけでなくドロー性能も評価。,False
Q9s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q8s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q7s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q6s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q5s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q4s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q3s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
Q2s,weak_suited_queen,弱スーテッドQ,フラッシュ性能はあるが、トップペアのキッカーが弱い。,フラッシュ、弱いQヒットで小さく勝つ。,QヒットでAQ/KQ/QJに負ける。,Qヒットを大きなバリュー手にすること。,スーテッドでも境界。慎重に扱う。,False
AJo,aj_at,AJ-AT,トップペアを作りやすく、ポジションが良いほど扱いやすい。,弱いAやJ/Tヒットからバリューを取る。,AQ+やAJ+にキッカー負け。,キッカー問題を軽視すること。,キッカー問題を学ぶ代表。,False
KJo,kj_kt,KJ-KT,トップペアを作れるが、強キッカーに負けるリスクもある。,KヒットやJ/Tヒットで勝つ。,AK/KQ/KJなど上位キッカー。,Kヒットを強すぎる手として扱うこと。,キッカー負けを常に意識。,False
QJo,qj_qt,QJ-QT,高カードと連結性があり、ストレートも作りやすい。,トップペア、ストレート、強ドロー。,AQ/KQ/QJなどに支配される。,トップペアだけで粘りすぎること。,ヒットだけでなくドロー性能も評価。,False
JJ,high_pocket,JJ-TT,高いショーダウン価値があり、低〜中ボードではオーバーペアになりやすい。,オーバーカードが少ないボードで勝つ。,A/K/Q高ボードでトップペアに抜かれる。,高カードが複数落ちても過信すること。,強いが繊細。高カードが出たら評価を下げる。,False
JTs,jt,JTs,ストレート・フラッシュ・強ドローを作りやすい。,強い完成役とコンボドロー。,ワンペア勝負で上に負ける。,きれいな見た目だけで参加すること。,プレイアビリティの教科書。ただし条件を選ぶ。,True
J9s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
J8s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J7s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J6s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J5s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J4s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J3s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J2s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
ATo,aj_at,AJ-AT,トップペアを作りやすく、ポジションが良いほど扱いやすい。,弱いAやJ/Tヒットからバリューを取る。,AQ+やAJ+にキッカー負け。,キッカー問題を軽視すること。,キッカー問題を学ぶ代表。,False
KTo,kj_kt,KJ-KT,トップペアを作れるが、強キッカーに負けるリスクもある。,KヒットやJ/Tヒットで勝つ。,AK/KQ/KJなど上位キッカー。,Kヒットを強すぎる手として扱うこと。,キッカー負けを常に意識。,False
QTo,qj_qt,QJ-QT,高カードと連結性があり、ストレートも作りやすい。,トップペア、ストレート、強ドロー。,AQ/KQ/QJなどに支配される。,トップペアだけで粘りすぎること。,ヒットだけでなくドロー性能も評価。,False
JTo,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
TT,high_pocket,JJ-TT,高いショーダウン価値があり、低〜中ボードではオーバーペアになりやすい。,オーバーカードが少ないボードで勝つ。,A/K/Q高ボードでトップペアに抜かれる。,高カードが複数落ちても過信すること。,強いが繊細。高カードが出たら評価を下げる。,False
T9s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
T8s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
T7s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T6s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T5s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T4s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T3s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T2s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
A9o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
Q9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
J9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
T9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
99,middle_pocket,中ポケット,セット期待とショーダウン価値のバランスがある。,セット完成、または低ボードで逃げ切る。,オーバーカード複数で苦しくなる。,セット未完成で粘りすぎること。,当たれば強いが、外れたら無理しない。,False
98s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
97s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
96s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
95s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
94s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
93s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
92s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A8o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K8o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
